"","AL","AZ","CA","FL","GA","ID","KY","LA","ME","MN","MO","NB","NC","NE","NJ","NM","NV","NY","OK","ON","PA","SC","SK","TN","TX","VA","WA","WY"
"AL",0,0.0383946137569501,0.080602357702799,0.0076138391430467,0.0129845263196057,0.0496344180774859,0.0291350878545954,0.0176929786726451,0.0620660820561112,0.0287746963460156,0.0207503103625986,0.0626254367177425,0.00877891115486648,0.0278654319183827,0.0682806467591703,0.0323122863024321,0.0566170603939797,0.108840546809163,0.0157771626461438,0.0512804143983438,0.0352444196430313,0.0143646081506761,0.0334490117547216,0.0174818414231339,0.0452596181110479,0.0190130219854219,0.0819589024058306,0.0439806461454178
"AZ",0.0383946137569501,0,0.0526764999073699,0.0381680856421503,0.0403234573363244,0.0238718787501599,0.0426011261093545,0.0432358760312717,0.074752038182585,0.0235601760744363,0.0286043072258703,0.0798117998029727,0.029756110129056,0.0149829603410706,0.0982901856792766,0.00953140710276903,0.0241993398415197,0.132946120041802,0.0226997218855486,0.0605836111560352,0.043604343230536,0.0452218284451919,0.0198193343827699,0.0564231416379232,0.0423716119058317,0.0346858132799681,0.0563997827368948,0.0275374608436699
"CA",0.080602357702799,0.0526764999073699,0,0.0832287505781683,0.0846613941567621,0.0618982618677517,0.0845116517726853,0.0904142521075574,0.117893629727756,0.0684191510816439,0.0736572268649684,0.12064290336852,0.0729676223450009,0.0582723861141594,0.133206651138901,0.0579231499857064,0.06565844467228,0.168167372968591,0.0690444932577407,0.102016676229646,0.0880078827641979,0.0900556917246951,0.0609502331545798,0.0988450423459665,0.0828052721336585,0.0787989772492736,0.0920873833857496,0.0684984590349086
"FL",0.0076138391430467,0.0381680856421503,0.0832287505781683,0,0.0130989929062316,0.0476104769085358,0.0316185615008913,0.0153565948652995,0.0640153377888739,0.0287306456090292,0.020649683534711,0.058429698013142,0.0116003288998236,0.0283420409026392,0.0641106965426117,0.0325160066697424,0.0557056411389045,0.109871275685201,0.0162180863626715,0.0517816850497029,0.0347895902866642,0.0158610828049434,0.0291538287702601,0.0135064488366622,0.0430963521417843,0.0214180059230401,0.0811762484103977,0.0421951303118507
"GA",0.0129845263196057,0.0403234573363244,0.0846613941567621,0.0130989929062316,0,0.0497000942898601,0.0333412049098383,0.0294463654968241,0.0695125583045849,0.0306815410354482,0.0255696563246846,0.0683724512430405,0.011969447921998,0.0293181674852936,0.0763446081348838,0.0351922069734776,0.0561509551075941,0.116547671221701,0.0198068215257866,0.0577340169531314,0.0415719270761415,0.00437605477764343,0.0361038780512094,0.0280405247369999,0.0526678043004615,0.023274342720203,0.0830123630693522,0.0485101943334249
"ID",0.0496344180774859,0.0238718787501599,0.0618982618677517,0.0476104769085358,0.0497000942898601,0,0.0509984489693184,0.0623420985155369,0.0878517172643071,0.0329896164546924,0.0450540075603237,0.107798989406145,0.0390293726480525,0.0234452004170654,0.127186772098802,0.0269891888454462,0.0166841964224153,0.159826287899781,0.0396586764019462,0.0706202614764037,0.0514039559980799,0.0562663474461573,0.0332814162869319,0.0889003096626777,0.079052579240246,0.0454899036344052,0.0487898760356581,0.037074992704354
"KY",0.0291350878545954,0.0426011261093545,0.0845116517726853,0.0316185615008913,0.0333412049098383,0.0509984489693184,0,0.0314315732204844,0.0568438437032538,0.0279154303394224,0.0186308999932444,0.0585876112919624,0.0137684829561922,0.0306212307928525,0.0654193843478184,0.0361310818919136,0.057660958726437,0.104108239105966,0.0260700106593486,0.0482179580279685,0.0261951689098777,0.0326290278476844,0.0337685939073893,0.0274792932841947,0.0503428884398316,0.0141119933747116,0.0839426563625541,0.0492535810378121
"LA",0.0176929786726451,0.0432358760312717,0.0904142521075574,0.0153565948652995,0.0294463654968241,0.0623420985155369,0.0314315732204844,0,0.0376211907730867,0.0279577383129806,0.0302724727613013,0.0324059706020852,0.0148580922938844,0.0360196524210892,0.0471031681084178,0.0373297314757916,0.0630211911783902,0.0949359017042845,0.0162741957160811,0.0366765469905701,0.0185824706352599,0.0295502499493461,0.0233342526947449,0.003304293169336,0.0235893500972598,0.0256516681370123,0.0922182169017937,0.041010595025855
"ME",0.0620660820561112,0.074752038182585,0.117893629727756,0.0640153377888739,0.0695125583045849,0.0878517172643071,0.0568438437032538,0.0376211907730867,0,0.0502846977517703,0.0585193041545665,-0.0040583211156136,0.0473342072266348,0.0653637750392172,0.021082786005276,0.0695867176569585,0.0934758074184749,0.0479975805673583,0.0600246611018519,0.0175488341081592,0.0163366566517987,0.0663580468738192,0.06062641980203,0.0547145945073509,0.0718090692088592,0.0455568346454821,0.117022363846695,0.0760466543763274
"MN",0.0287746963460156,0.0235601760744363,0.0684191510816439,0.0287306456090292,0.0306815410354482,0.0329896164546924,0.0279154303394224,0.0279577383129806,0.0502846977517703,0,0.0131809407203555,0.0500440689467099,0.0195409637441247,0.0105196417374325,0.0635118596766056,0.0171449578278933,0.0370671715989061,0.0983911849740581,0.0107909507779619,0.0377322631237535,0.0255961500986365,0.0329552006152575,0.0123121178659372,0.039555544058278,0.0361743820423967,0.0241140507452586,0.0649316111093543,0.0283743427754737
"MO",0.0207503103625986,0.0286043072258703,0.0736572268649684,0.020649683534711,0.0255696563246846,0.0450540075603237,0.0186308999932444,0.0302724727613013,0.0585193041545665,0.0131809407203555,0,0.075566153463691,0.0116959524070221,0.0128053077161066,0.0916553895292724,0.0235139526872302,0.0475170904523483,0.141747396900898,0.0110982228801847,0.0477687713886383,0.0230466841389577,0.0291548563379794,0.0268135603195043,0.0462830759865078,0.0556714358018534,0.0124606396547084,0.0792030277510709,0.0441524792513312
"NB",0.0626254367177425,0.0798117998029727,0.12064290336852,0.058429698013142,0.0683724512430405,0.107798989406145,0.0585876112919624,0.0324059706020852,-0.0040583211156136,0.0500440689467099,0.075566153463691,0,0.0461391157569229,0.0710473070459724,0.0372414910070343,0.0758269709196868,0.101625846076832,0.0910529631536007,0.0633333843797888,0.020871542508055,0.011846136156953,0.0685581849229512,0.0690699553988818,0.074069717266324,0.0857913155404318,0.0490908350743473,0.125131977296535,0.0973397217771952
"NC",0.00877891115486648,0.029756110129056,0.0729676223450009,0.0116003288998236,0.011969447921998,0.0390293726480525,0.0137684829561922,0.0148580922938844,0.0473342072266348,0.0195409637441247,0.0116959524070221,0.0461391157569229,0,0.0192638878058716,0.0513269649153671,0.0251911475933273,0.0462869346745604,0.0930711973694089,0.0114334543687214,0.0374297936164181,0.01947401702852,0.0131420468396535,0.0228878181909462,0.0113498834678933,0.0382531279048985,0.00519314332140556,0.0721518636249258,0.0359236491916905
"NE",0.0278654319183827,0.0149829603410706,0.0582723861141594,0.0283420409026392,0.0293181674852936,0.0234452004170654,0.0306212307928525,0.0360196524210892,0.0653637750392172,0.0105196417374325,0.0128053077161066,0.0710473070459724,0.0192638878058716,0,0.0868415007498774,0.00966944642222986,0.0291983020498547,0.121607981581623,0.0110176861620793,0.0506988561218312,0.0328023059680113,0.034301605717087,0.0131414021426635,0.0481723548844818,0.0429563316139669,0.0215709911195936,0.0590715251980233,0.0267954784078042
"NJ",0.0682806467591703,0.0982901856792766,0.133206651138901,0.0641106965426117,0.0763446081348838,0.127186772098802,0.0654193843478184,0.0471031681084178,0.021082786005276,0.0635118596766056,0.0916553895292724,0.0372414910070343,0.0513269649153671,0.0868415007498774,0,0.0907423989938134,0.116365887970216,0.100861164691317,0.0761425790492967,0.0295946942498518,0.0167097262375888,0.0739334181410923,0.0970114859641006,0.078739584382123,0.105339120881488,0.0625030877996729,0.139401767541822,0.1110799164258
"NM",0.0323122863024321,0.00953140710276903,0.0579231499857064,0.0325160066697424,0.0351922069734776,0.0269891888454462,0.0361310818919136,0.0373297314757916,0.0695867176569585,0.0171449578278933,0.0235139526872302,0.0758269709196868,0.0251911475933273,0.00966944642222986,0.0907423989938134,0,0.0307466347161697,0.126816471981523,0.0150876454286446,0.0557932114135919,0.0393481676905271,0.0382217008976479,0.0199711093563261,0.0522494621008601,0.0365358772475316,0.0292025922886145,0.0612189680623453,0.0275581212283147
"NV",0.0566170603939797,0.0241993398415197,0.06565844467228,0.0557056411389045,0.0561509551075941,0.0166841964224153,0.057660958726437,0.0630211911783902,0.0934758074184749,0.0370671715989061,0.0475170904523483,0.101625846076832,0.0462869346745604,0.0291983020498547,0.116365887970216,0.0307466347161697,0,0.151597144518708,0.0406877525308338,0.0756844784856184,0.0608976446282151,0.0626056921242272,0.0268430314120742,0.0758614623506317,0.0674588199448075,0.0530162442423337,0.050045597548757,0.0330356646194422
"NY",0.108840546809163,0.132946120041802,0.168167372968591,0.109871275685201,0.116547671221701,0.159826287899781,0.104108239105966,0.0949359017042845,0.0479975805673583,0.0983911849740581,0.141747396900898,0.0910529631536007,0.0930711973694089,0.121607981581623,0.100861164691317,0.126816471981523,0.151597144518708,0,0.119576216124781,0.0616801224499964,0.0558206562861512,0.114958200603093,0.136658596621392,0.15710161890153,0.164324985846132,0.102827354809942,0.174009865668959,0.166105482397889
"OK",0.0157771626461438,0.0226997218855486,0.0690444932577407,0.0162180863626715,0.0198068215257866,0.0396586764019462,0.0260700106593486,0.0162741957160811,0.0600246611018519,0.0107909507779619,0.0110982228801847,0.0633333843797888,0.0114334543687214,0.0110176861620793,0.0761425790492967,0.0150876454286446,0.0406877525308338,0.119576216124781,0,0.0472005466827726,0.027942327695129,0.0236975764683256,0.0165201210706771,0.0237719181287361,0.0270040185731584,0.0205403869810504,0.069682201035961,0.0298895709731858
"ON",0.0512804143983438,0.0605836111560352,0.102016676229646,0.0517816850497029,0.0577340169531314,0.0706202614764037,0.0482179580279685,0.0366765469905701,0.0175488341081592,0.0377322631237535,0.0477687713886383,0.020871542508055,0.0374297936164181,0.0506988561218312,0.0295946942498518,0.0557932114135919,0.0756844784856184,0.0616801224499964,0.0472005466827726,0,0.0127153738995061,0.0554526231778399,0.0521060001636112,0.0586096075934746,0.071244402240795,0.036532820916212,0.0993953089463225,0.066946786296491
"PA",0.0352444196430313,0.043604343230536,0.0880078827641979,0.0347895902866642,0.0415719270761415,0.0514039559980799,0.0261951689098777,0.0185824706352599,0.0163366566517987,0.0255961500986365,0.0230466841389577,0.011846136156953,0.01947401702852,0.0328023059680113,0.0167097262375888,0.0393481676905271,0.0608976446282151,0.0558206562861512,0.027942327695129,0.0127153738995061,0,0.0394886355487838,0.0292207839656922,0.0245818741758053,0.0452527625583289,0.0140825589798419,0.0857745671702142,0.0452278740514766
"SC",0.0143646081506761,0.0452218284451919,0.0900556917246951,0.0158610828049434,0.00437605477764343,0.0562663474461573,0.0326290278476844,0.0295502499493461,0.0663580468738192,0.0329552006152575,0.0291548563379794,0.0685581849229512,0.0131420468396535,0.034301605717087,0.0739334181410923,0.0382217008976479,0.0626056921242272,0.114958200603093,0.0236975764683256,0.0554526231778399,0.0394886355487838,0,0.0402588576858781,0.0290933385617614,0.0571043363319459,0.0249195358347938,0.087081986804807,0.0511518952422834
"SK",0.0334490117547216,0.0198193343827699,0.0609502331545798,0.0291538287702601,0.0361038780512094,0.0332814162869319,0.0337685939073893,0.0233342526947449,0.06062641980203,0.0123121178659372,0.0268135603195043,0.0690699553988818,0.0228878181909462,0.0131414021426635,0.0970114859641006,0.0199711093563261,0.0268430314120742,0.136658596621392,0.0165201210706771,0.0521060001636112,0.0292207839656922,0.0402588576858781,0,0.0426842778891587,0.028089654526093,0.032002518530027,0.060767491152561,0.0238415144878184
"TN",0.0174818414231339,0.0564231416379232,0.0988450423459665,0.0135064488366622,0.0280405247369999,0.0889003096626777,0.0274792932841947,0.003304293169336,0.0547145945073509,0.039555544058278,0.0462830759865078,0.074069717266324,0.0113498834678933,0.0481723548844818,0.078739584382123,0.0522494621008601,0.0758614623506317,0.15710161890153,0.0237719181287361,0.0586096075934746,0.0245818741758053,0.0290933385617614,0.0426842778891587,0,0.0597698700191775,0.0317218052311079,0.109121822195381,0.0681064470692117
"TX",0.0452596181110479,0.0423716119058317,0.0828052721336585,0.0430963521417843,0.0526678043004615,0.079052579240246,0.0503428884398316,0.0235893500972598,0.0718090692088592,0.0361743820423967,0.0556714358018534,0.0857913155404318,0.0382531279048985,0.0429563316139669,0.105339120881488,0.0365358772475316,0.0674588199448075,0.164324985846132,0.0270040185731584,0.071244402240795,0.0452527625583289,0.0571043363319459,0.028089654526093,0.0597698700191775,0,0.0533623576741487,0.0992621558146581,0.0663289055777562
"VA",0.0190130219854219,0.0346858132799681,0.0787989772492736,0.0214180059230401,0.023274342720203,0.0454899036344052,0.0141119933747116,0.0256516681370123,0.0455568346454821,0.0241140507452586,0.0124606396547084,0.0490908350743473,0.00519314332140556,0.0215709911195936,0.0625030877996729,0.0292025922886145,0.0530162442423337,0.102827354809942,0.0205403869810504,0.036532820916212,0.0140825589798419,0.0249195358347938,0.032002518530027,0.0317218052311079,0.0533623576741487,0,0.0827549274696477,0.0467890517694197
"WA",0.0819589024058306,0.0563997827368948,0.0920873833857496,0.0811762484103977,0.0830123630693522,0.0487898760356581,0.0839426563625541,0.0922182169017937,0.117022363846695,0.0649316111093543,0.0792030277510709,0.125131977296535,0.0721518636249258,0.0590715251980233,0.139401767541822,0.0612189680623453,0.050045597548757,0.174009865668959,0.069682201035961,0.0993953089463225,0.0857745671702142,0.087081986804807,0.060767491152561,0.109121822195381,0.0992621558146581,0.0827549274696477,0,0.0663772053322398
"WY",0.0439806461454178,0.0275374608436699,0.0684984590349086,0.0421951303118507,0.0485101943334249,0.037074992704354,0.0492535810378121,0.041010595025855,0.0760466543763274,0.0283743427754737,0.0441524792513312,0.0973397217771952,0.0359236491916905,0.0267954784078042,0.1110799164258,0.0275581212283147,0.0330356646194422,0.166105482397889,0.0298895709731858,0.066946786296491,0.0452278740514766,0.0511518952422834,0.0238415144878184,0.0681064470692117,0.0663289055777562,0.0467890517694197,0.0663772053322398,0
