"","Abydos Station","Artesian Range","Astell Island","Bachsten Creek","Cooktown","Darwin","Dolphin Island","Groote Eylandt","Hayes Creek","Kakadu","Koolan Island","Litchfield","Marchinbar Island","Mareeba","Millstream Chichester","Mornington Sanctuary","NW Marble Bar","Pannawonica","Pobassoo Island","Roe River Mouth","Weipa","Wunaamin Miliwundi","Yampi Peninsula"
"Abydos Station",0,0.157738509906549,0.395485679785793,0.172450922587533,0.629361631282687,0.381033694948492,0.250770165767533,0.593427153442008,0.451004153352845,0.388974365077548,0.453979967167282,0.403611895130885,0.903552973153842,0.618778916898213,0.0312082918188333,0.262221590543774,0.0323829161739497,0.0609874854503974,0.42480257959646,0.213406208040188,0.689208816723633,0.168733840089988,0.173795421122681
"Artesian Range",0.157738509906549,0,0.316177238569268,0.0114616872851931,0.458752306335227,0.313538268931535,0.259565452126701,0.435766706445235,0.320892264163957,0.319306193899582,0.218715133208222,0.298448683454188,0.563812823973663,0.446713402477385,0.176839660638938,0.0968757725084311,0.17457832177235,0.180322130180038,0.328256409460275,0.043517403931526,0.473493209647036,0.0197233583266607,0.0173911550581136
"Astell Island",0.395485679785793,0.316177238569268,0,0.332158859268763,0.433959302393741,0.0208242913959297,0.466045538521028,0.262542280424462,0.0642703182326354,0.0389724475593766,0.466228498072069,0.0366772900939276,0.484087309996413,0.419445761303778,0.405651966735465,0.381295452197644,0.404284856039983,0.408793378133147,0.0668025055669622,0.349677824186134,0.457447940743501,0.326759038334102,0.334027394330793
"Bachsten Creek",0.172450922587533,0.0114616872851931,0.332158859268763,0,0.534778062854103,0.322799157546512,0.300723855909143,0.50870382982866,0.338003908588598,0.330147487416493,0.268952084050034,0.309223991575588,0.773965675808767,0.512787884599178,0.196165672780561,0.112842065815647,0.195737953416863,0.19754839316197,0.351045089725414,0.0416124555796761,0.56252040663412,0.0232027985329584,0.0218181345448269
"Cooktown",0.629361631282687,0.458752306335227,0.433959302393741,0.534778062854103,0,0.406685664535458,0.692103791844039,0.604077318646089,0.554829899337355,0.410431451861551,0.678848073317977,0.506776543034838,0.850285740640693,0.111028247857355,0.609535973951689,0.56333426705838,0.615618055221289,0.631540578222074,0.474748579116202,0.573218863484644,0.239102453870898,0.483175246272705,0.53952797673462
"Darwin",0.381033694948492,0.313538268931535,0.0208242913959297,0.322799157546512,0.406685664535458,0,0.447682584071142,0.228979578272829,0.0696931055818346,0.0309559022220272,0.443894638846169,0.0130043363043243,0.406139453367323,0.395360365067459,0.391673882426385,0.369535046302633,0.389075183553488,0.394464321096619,0.0260656454571492,0.337760382986034,0.428125253269312,0.321813274520896,0.325113439490447
"Dolphin Island",0.250770165767533,0.259565452126701,0.466045538521028,0.300723855909143,0.692103791844039,0.447682584071142,0,0.648162757092477,0.572293227729341,0.4553979745487,0.559962715465589,0.517237169297471,0.930079226549504,0.691244423351627,0.22530392672748,0.367487533985289,0.243051141263979,0.253594107583343,0.501784232768835,0.349511175380254,0.75602062292583,0.271478368869556,0.299518129199846
"Groote Eylandt",0.593427153442008,0.435766706445235,0.262542280424462,0.50870382982866,0.604077318646089,0.228979578272829,0.648162757092477,0,0.358700389001114,0.223246684141272,0.635747634674017,0.313824122893814,0.688028897176599,0.601197540238581,0.584071327226115,0.540858382494082,0.584604068408768,0.599309418756293,0.300052965008975,0.541520330974709,0.639026118633739,0.464584258497254,0.514448610291493
"Hayes Creek",0.451004153352845,0.320892264163957,0.0642703182326354,0.338003908588598,0.554829899337355,0.0696931055818346,0.572293227729341,0.358700389001114,0,0.0702288268805909,0.572976646457975,0.08920466324139,0.852487277656051,0.541656445717174,0.455814804412505,0.41030412225657,0.458480409543554,0.461996261870021,0.121465303439044,0.370441548593695,0.628252036506898,0.331265619116478,0.337925987163775
"Kakadu",0.388974365077548,0.319306193899582,0.0389724475593766,0.330147487416493,0.410431451861551,0.0309559022220272,0.4553979745487,0.223246684141272,0.0702288268805909,0,0.452743930343476,0.0270088510931276,0.412199659346114,0.398492846156124,0.399488042515755,0.376528580090357,0.396819308243821,0.402338986543684,0.0686817853189289,0.344460106430378,0.43223309641189,0.328215595999103,0.332923403455065
"Koolan Island",0.453979967167282,0.218715133208222,0.466228498072069,0.268952084050034,0.678848073317977,0.443894638846169,0.559962715465589,0.635747634674017,0.572976646457975,0.452743930343476,0,0.532683246947681,0.883577623477294,0.676760496530948,0.429616703865299,0.343789837053099,0.436907429469966,0.453054877751434,0.505396694448906,0.328568665580804,0.725593674143966,0.236189056445115,0.260628286520507
"Litchfield",0.403611895130885,0.298448683454188,0.0366772900939276,0.309223991575588,0.506776543034838,0.0130043363043243,0.517237169297471,0.313824122893814,0.08920466324139,0.0270088510931276,0.532683246947681,0,0.78213467220978,0.487176760331224,0.419314033848316,0.381986870031645,0.420365912792163,0.419936671631217,0.0625920104521786,0.336310967731558,0.567223663608432,0.306526968876646,0.309949671410856
"Marchinbar Island",0.903552973153842,0.563812823973663,0.484087309996413,0.773965675808767,0.850285740640693,0.406139453367323,0.930079226549504,0.688028897176599,0.852487277656051,0.412199659346114,0.883577623477294,0.78213467220978,0,0.880171002251951,0.841004688557739,0.754764989931675,0.852831658224727,0.891937481972892,0.593455887867765,0.84133785403957,0.919286627237326,0.628356360597226,0.781722925515124
"Mareeba",0.618778916898213,0.446713402477385,0.419445761303778,0.512787884599178,0.111028247857355,0.395360365067459,0.691244423351627,0.601197540238581,0.541656445717174,0.398492846156124,0.676760496530948,0.487176760331224,0.880171002251951,0,0.5955912947601,0.548108665765621,0.602675014921768,0.620352202676318,0.458407551481356,0.554360640022496,0.276288028203617,0.467270472182279,0.517316936294656
"Millstream Chichester",0.0312082918188333,0.176839660638938,0.405651966735465,0.196165672780561,0.609535973951689,0.391673882426385,0.22530392672748,0.584071327226115,0.455814804412505,0.399488042515755,0.429616703865299,0.419314033848316,0.841004688557739,0.5955912947601,0,0.276287075588828,0.0451967068020361,0.0377335275923154,0.43417255021676,0.233682200251463,0.647919460614534,0.188323563493378,0.200483103425723
"Mornington Sanctuary",0.262221590543774,0.0968757725084311,0.381295452197644,0.112842065815647,0.56333426705838,0.369535046302633,0.367487533985289,0.540858382494082,0.41030412225657,0.376528580090357,0.343789837053099,0.381986870031645,0.754764989931675,0.548108665765621,0.276287075588828,0,0.272189681713419,0.279415676701884,0.403117838175484,0.1485135748905,0.58598724791325,0.0958355530228714,0.11277732292185
"NW Marble Bar",0.0323829161739497,0.17457832177235,0.404284856039983,0.195737953416863,0.615618055221289,0.389075183553488,0.243051141263979,0.584604068408768,0.458480409543554,0.396819308243821,0.436907429469966,0.420365912792163,0.852831658224727,0.602675014921768,0.0451967068020361,0.272189681713419,0,0.0690338717186822,0.433173375633547,0.234213837525813,0.657938628428466,0.185397713947491,0.197056732413252
"Pannawonica",0.0609874854503974,0.180322130180038,0.408793378133147,0.19754839316197,0.631540578222074,0.394464321096619,0.253594107583343,0.599309418756293,0.461996261870021,0.402338986543684,0.453054877751434,0.419936671631217,0.891937481972892,0.620352202676318,0.0377335275923154,0.279415676701884,0.0690338717186822,0,0.437885315966251,0.236323827381535,0.684559738813736,0.191319949512639,0.19461531221339
"Pobassoo Island",0.42480257959646,0.328256409460275,0.0668025055669622,0.351045089725414,0.474748579116202,0.0260656454571492,0.501784232768835,0.300052965008975,0.121465303439044,0.0686817853189289,0.505396694448906,0.0625920104521786,0.593455887867765,0.458407551481356,0.43417255021676,0.403117838175484,0.433173375633547,0.437885315966251,0,0.372271598616402,0.504019678543485,0.340412073170279,0.353025777424683
"Roe River Mouth",0.213406208040188,0.043517403931526,0.349677824186134,0.0416124555796761,0.573218863484644,0.337760382986034,0.349511175380254,0.541520330974709,0.370441548593695,0.344460106430378,0.328568665580804,0.336310967731558,0.84133785403957,0.554360640022496,0.233682200251463,0.1485135748905,0.234213837525813,0.236323827381535,0.372271598616402,0,0.613522028121088,0.0563997610750535,0.0567290600392403
"Weipa",0.689208816723633,0.473493209647036,0.457447940743501,0.56252040663412,0.239102453870898,0.428125253269312,0.75602062292583,0.639026118633739,0.628252036506898,0.43223309641189,0.725593674143966,0.567223663608432,0.919286627237326,0.276288028203617,0.647919460614534,0.58598724791325,0.657938628428466,0.684559738813736,0.504019678543485,0.613522028121088,0,0.498643926414333,0.566850768567473
"Wunaamin Miliwundi",0.168733840089988,0.0197233583266607,0.326759038334102,0.0232027985329584,0.483175246272705,0.321813274520896,0.271478368869556,0.464584258497254,0.331265619116478,0.328215595999103,0.236189056445115,0.306526968876646,0.628356360597226,0.467270472182279,0.188323563493378,0.0958355530228714,0.185397713947491,0.191319949512639,0.340412073170279,0.0563997610750535,0.498643926414333,0,0.0213031950844033
"Yampi Peninsula",0.173795421122681,0.0173911550581136,0.334027394330793,0.0218181345448269,0.53952797673462,0.325113439490447,0.299518129199846,0.514448610291493,0.337925987163775,0.332923403455065,0.260628286520507,0.309949671410856,0.781722925515124,0.517316936294656,0.200483103425723,0.11277732292185,0.197056732413252,0.19461531221339,0.353025777424683,0.0567290600392403,0.566850768567473,0.0213031950844033,0
