"","BEL","CRO","FNN","FNS","FRA","GER","IRE","ITA","ITN","LTH","NIR","NOR","PLA","PLC","PLS","PTN","PTS","RUK","RUV","RUY","SER","SLO","SPN","SPS","SWN","SWS","SWZ","UKN","UKR","UKS"
"BEL",0,0.00629635737737807,0.0100162238654538,0.0113813843795716,0.00423671599733214,0.00513130755024944,0.0168939495835604,0.0127768491325428,0.00763102493694129,0.00611036766505873,0.0159685619078704,0.0115001570853468,0.0049715501983532,0.00514615213733466,0.00601139432108155,0.00997077048540705,0.011302314741102,0.0137108378515677,0.0111911328081893,0.0121749577059754,0.00694142892098502,0.0100302740743805,0.00907039700238154,0.00987695473288662,0.0107497648512268,0.0135350973321984,0.0060467550115035,0.0120098232737359,0.00695085213828447,0.0118393328170352
"CRO",0.00629635737737807,0,0.00942323834085788,0.0106300907719985,0.00833118493415367,0.00539534444644294,0.0199803207571159,0.0110139514304649,0.00586400085871373,0.00536376050964184,0.0192543709731119,0.0108629317080787,0.00427446552666561,0.00447240040573803,0.00360319555948537,0.0100244743141945,0.0115184168014434,0.0125355490784033,0.00962072205230257,0.0110348299897109,0.00339618095080978,0.00511184250253288,0.0100113428520097,0.0102613295728737,0.0103240911954025,0.0133794430263551,0.00726917878141081,0.0151106694134761,0.00468178667394563,0.015251287558842
"FNN",0.0100162238654538,0.00942323834085788,0,0.00538101480380034,0.0122239634973124,0.00915986273220457,0.0235463686688719,0.016385490792619,0.0098204606774108,0.00629249664819608,0.0227751864606803,0.0025143532493998,0.0073793438406738,0.00694131752226553,0.00707741818155924,0.0134274329967119,0.0147623929602366,0.0106539974828051,0.00888611120465557,0.00891473210763451,0.00986732923532719,0.0132613186347585,0.0131904989912839,0.0122033286503413,0.00228141581443101,0.00624897095425391,0.00976784820832249,0.0179840002546509,0.00550613027555775,0.018154037264222
"FNS",0.0113813843795716,0.0106300907719985,0.00538101480380034,0,0.0136409540965432,0.0106366477237529,0.0251480403775581,0.0179327651664132,0.0118517944102683,0.00883970242074849,0.0241476916929547,0.00829711836357558,0.00899479636252589,0.00857413046095168,0.00926686115922088,0.0147522243734906,0.0160797356125437,0.0113471000227674,0.00949091165609973,0.0106630950472511,0.0110666264877636,0.0136289066212086,0.0139516829368545,0.0142334777879659,0.00769565812618289,0.0114460211489595,0.0117594088851754,0.0188899802966048,0.00775948779529924,0.0190879206718012
"FRA",0.00423671599733214,0.00833118493415367,0.0122239634973124,0.0136409540965432,0,0.00711222706385439,0.0184791588133737,0.014418254014793,0.00974921002170309,0.00856452850305346,0.0171898841394678,0.0132876850734989,0.00722096950987338,0.00710668765500619,0.0079841050042762,0.0109666999382311,0.012411135548794,0.0160482019322745,0.0132663300570495,0.014362326476813,0.00920739032400568,0.0121464853108388,0.010143631961552,0.0110180745819866,0.0127764463127333,0.015186504244154,0.00764144094042132,0.0136450453614419,0.00883728385070732,0.0134928040891588
"GER",0.00513130755024944,0.00539534444644294,0.00915986273220457,0.0106366477237529,0.00711222706385439,0,0.0183804849458126,0.0128106536532205,0.007750217294034,0.00467460050376111,0.0171846503771532,0.0101064087743546,0.00332778412338088,0.00287047059463441,0.0044002799961533,0.01051812443145,0.0115027309216885,0.0135487783629443,0.010681911111406,0.0122093300388062,0.00601588829183321,0.00890262655756254,0.0104632822400807,0.0100180593266042,0.00994594206107132,0.0125368339678619,0.00712917008360475,0.0138892584408221,0.0055919459677774,0.0140617858606693
"IRE",0.0168939495835604,0.0199803207571159,0.0235463686688719,0.0251480403775581,0.0184791588133737,0.0183804849458126,0,0.0266447841992035,0.0222411619047082,0.0210233116756601,0.0100780893153925,0.0243405192782038,0.0187200470949086,0.0183394221402186,0.0194492053564088,0.0239895995122474,0.0249433945489405,0.0288084885480458,0.0245489451000613,0.0290586980103072,0.020938460855463,0.0236883440824158,0.0230129196935296,0.0235724648265406,0.024117870512355,0.0264299994541723,0.019971059531922,0.0145935249315636,0.0199724017152033,0.016691614338479
"ITA",0.0127768491325428,0.0110139514304649,0.016385490792619,0.0179327651664132,0.014418254014793,0.0128106536532205,0.0266447841992035,0,0.00895626854295198,0.0137596603506416,0.0258017723853464,0.0174794418327241,0.0120574370071521,0.0121673641332575,0.0122863715520821,0.015409128998399,0.0166178077134527,0.0197598233221374,0.0165607631275706,0.019279274221554,0.0126900291947407,0.0147471046961441,0.0155670658375463,0.0158065668221823,0.0168968905652404,0.0196439513806267,0.0124521482366158,0.0217161733404065,0.0122257295472064,0.0218342195441523
"ITN",0.00763102493694129,0.00586400085871373,0.0098204606774108,0.0118517944102683,0.00974921002170309,0.007750217294034,0.0222411619047082,0.00895626854295198,0,0.00658168287789486,0.0215468108631986,0.0133666550412849,0.0072616132018225,0.00541758832820806,0.00575955708579029,0.0116444969064274,0.0125078220058524,0.0147209469875733,0.0112806274369895,0.0135497749663971,0.00782171829689522,0.00875190613239686,0.0105929974676896,0.010895015893885,0.0126834992953681,0.0155798025992883,0.00584076910478807,0.0155900225291835,0.00580755203335336,0.0154670012237991
"LTH",0.00611036766505873,0.00536376050964184,0.00629249664819608,0.00883970242074849,0.00856452850305346,0.00467460050376111,0.0210233116756601,0.0137596603506416,0.00658168287789486,0,0.0199463795864064,0.0100958765771112,0.00207850096925436,0.00241462468863924,0.00329338453052321,0.0111007178018866,0.0122801152838966,0.0124370736926012,0.00893087581259632,0.0113687814502936,0.00557949350060444,0.00918909759216766,0.0104549122343349,0.0106601552915164,0.00935714025305681,0.0128686635277219,0.00648091007907756,0.0151946281122981,0.00333407522650976,0.0151898959968047
"NIR",0.0159685619078704,0.0192543709731119,0.0227751864606803,0.0241476916929547,0.0171898841394678,0.0171846503771532,0.0100780893153925,0.0258017723853464,0.0215468108631986,0.0199463795864064,0,0.0230352265937084,0.0174934339251445,0.0172417520574115,0.0183289797591433,0.022518094262106,0.0238358021886949,0.0280796068234632,0.0237279761470048,0.0282546545148882,0.0202482479765598,0.0229482323037499,0.0221962906609057,0.0222794555251621,0.0231640469184189,0.0256402022208883,0.0189903744661784,0.0151513509420246,0.0190757680438488,0.0165097685088337
"NOR",0.0115001570853468,0.0108629317080787,0.0025143532493998,0.00829711836357558,0.0132876850734989,0.0101064087743546,0.0243405192782038,0.0174794418327241,0.0133666550412849,0.0100958765771112,0.0230352265937084,0,0.008438553833532,0.00935979135628183,0.00986340418575684,0.0150075405465433,0.0159444667848455,0.0119311867801633,0.0101041864523538,0.00998891299729019,0.0111846113248998,0.0148515884881123,0.0153594773548669,0.0143472113446286,0.00255491103850473,0.00619612758547839,0.0130577273501482,0.0197575301588665,0.00889246345738331,0.0199108279620563
"PLA",0.0049715501983532,0.00427446552666561,0.0073793438406738,0.00899479636252589,0.00722096950987338,0.00332778412338088,0.0187200470949086,0.0120574370071521,0.0072616132018225,0.00207850096925436,0.0174934339251445,0.008438553833532,0,0.00228077407148814,0.00301034056572589,0.00967808487099668,0.010835074679194,0.0115883472824202,0.0087902183178645,0.00986624496183674,0.00479679147261326,0.00802696999219484,0.00970988204638115,0.008443157482643,0.00844392268017929,0.0114464273343348,0.00678948755372104,0.0141570336923559,0.00405100899616938,0.014267552387927
"PLC",0.00514615213733466,0.00447240040573803,0.00694131752226553,0.00857413046095168,0.00710668765500619,0.00287047059463441,0.0183394221402186,0.0121673641332575,0.00541758832820806,0.00241462468863924,0.0172417520574115,0.00935979135628183,0.00228077407148814,0,0.00236095944471931,0.00950392570556302,0.0107980920268536,0.0114777263930764,0.00873944089345075,0.00982892173998293,0.00485676919754558,0.00735192230571049,0.00935709055311084,0.00876433494044735,0.00890854203428181,0.0115405048692692,0.005659824365526,0.0129009900385927,0.00335504437412177,0.0131611382827604
"PLS",0.00601139432108155,0.00360319555948537,0.00707741818155924,0.00926686115922088,0.0079841050042762,0.0044002799961533,0.0194492053564088,0.0122863715520821,0.00575955708579029,0.00329338453052321,0.0183289797591433,0.00986340418575684,0.00301034056572589,0.00236095944471931,0,0.0101043636485782,0.0110232856119422,0.0121539440914806,0.00898111790873563,0.0106767924358642,0.00339408777111423,0.00714106473219788,0.00997420698910599,0.00916423518789909,0.009453913880014,0.0124728046043193,0.00654456636735004,0.0141912030405091,0.00295433624850955,0.0145745382580849
"PTN",0.00997077048540705,0.0100244743141945,0.0134274329967119,0.0147522243734906,0.0109666999382311,0.01051812443145,0.0239895995122474,0.015409128998399,0.0116444969064274,0.0111007178018866,0.022518094262106,0.0150075405465433,0.00967808487099668,0.00950392570556302,0.0101043636485782,0,0.00204026303195078,0.0163166237642287,0.013747540357743,0.0157316515769174,0.0105286912683404,0.0136443502743655,0.00452559934609976,0.00326089177393959,0.0142962168844598,0.0174527617436464,0.0111383033378708,0.0183992641274881,0.00973538829056305,0.0181458550398755
"PTS",0.011302314741102,0.0115184168014434,0.0147623929602366,0.0160797356125437,0.012411135548794,0.0115027309216885,0.0249433945489405,0.0166178077134527,0.0125078220058524,0.0122801152838966,0.0238358021886949,0.0159444667848455,0.010835074679194,0.0107980920268536,0.0110232856119422,0.00204026303195078,0,0.0176952959969172,0.0149282272102605,0.0174592707229411,0.0118331685688004,0.0146569585885621,0.00534823026320313,0.00289914635078664,0.0156849802993675,0.0184347562275408,0.0124343025649733,0.0193920255147592,0.0107151783059082,0.0196014508451787
"RUK",0.0137108378515677,0.0125355490784033,0.0106539974828051,0.0113471000227674,0.0160482019322745,0.0135487783629443,0.0288084885480458,0.0197598233221374,0.0147209469875733,0.0124370736926012,0.0280796068234632,0.0119311867801633,0.0115883472824202,0.0114777263930764,0.0121539440914806,0.0163166237642287,0.0176952959969172,0,0.00636865260033664,0.00848750327600308,0.0123916794220112,0.0141162003712691,0.0136267844369477,0.016760556785446,0.0118404798578456,0.0158589836469385,0.0138347546467201,0.0207927756395924,0.0105205176586857,0.020859193355968
"RUV",0.0111911328081893,0.00962072205230257,0.00888611120465557,0.00949091165609973,0.0132663300570495,0.010681911111406,0.0245489451000613,0.0165607631275706,0.0112806274369895,0.00893087581259632,0.0237279761470048,0.0101041864523538,0.0087902183178645,0.00873944089345075,0.00898111790873563,0.013747540357743,0.0149282272102605,0.00636865260033664,0,0.00673004087031978,0.00957018170935498,0.0111245231910192,0.0116343189526934,0.0137993013559362,0.0102120978202253,0.0138085212574118,0.0112152310003351,0.0174625403978923,0.00705123371301073,0.0177745410624783
"RUY",0.0121749577059754,0.0110348299897109,0.00891473210763451,0.0106630950472511,0.014362326476813,0.0122093300388062,0.0290586980103072,0.019279274221554,0.0135497749663971,0.0113687814502936,0.0282546545148882,0.00998891299729019,0.00986624496183674,0.00982892173998293,0.0106767924358642,0.0157316515769174,0.0174592707229411,0.00848750327600308,0.00673004087031978,0,0.0110535155768401,0.0137002738804865,0.0133017092454373,0.0161253870353493,0.0097831520846868,0.0144524481325906,0.0124443195868729,0.0203190135735314,0.00882065690413651,0.0207180602655075
"SER",0.00694142892098502,0.00339618095080978,0.00986732923532719,0.0110666264877636,0.00920739032400568,0.00601588829183321,0.020938460855463,0.0126900291947407,0.00782171829689522,0.00557949350060444,0.0202482479765598,0.0111846113248998,0.00479679147261326,0.00485676919754558,0.00339408777111423,0.0105286912683404,0.0118331685688004,0.0123916794220112,0.00957018170935498,0.0110535155768401,0,0.0067497771484486,0.0107046768824475,0.0108559185120016,0.0107272688027007,0.0136002922855942,0.00847071901353173,0.0156718729513702,0.00487225027938516,0.0158369377211236
"SLO",0.0100302740743805,0.00511184250253288,0.0132613186347585,0.0136289066212086,0.0121464853108388,0.00890262655756254,0.0236883440824158,0.0147471046961441,0.00875190613239686,0.00918909759216766,0.0229482323037499,0.0148515884881123,0.00802696999219484,0.00735192230571049,0.00714106473219788,0.0136443502743655,0.0146569585885621,0.0141162003712691,0.0111245231910192,0.0137002738804865,0.0067497771484486,0,0.0114592292559104,0.0135378909809706,0.0144296487186871,0.0173554273640336,0.00945037703518018,0.0166309163592585,0.00813646190370195,0.0170261486908581
"SPN",0.00907039700238154,0.0100113428520097,0.0131904989912839,0.0139516829368545,0.010143631961552,0.0104632822400807,0.0230129196935296,0.0155670658375463,0.0105929974676896,0.0104549122343349,0.0221962906609057,0.0153594773548669,0.00970988204638115,0.00935709055311084,0.00997420698910599,0.00452559934609976,0.00534823026320313,0.0136267844369477,0.0116343189526934,0.0133017092454373,0.0107046768824475,0.0114592292559104,0,0.00540109733161131,0.0145709252584747,0.0173083282172746,0.00956906856385837,0.0154699247410912,0.00970461022107495,0.0158603362452798
"SPS",0.00987695473288662,0.0102613295728737,0.0122033286503413,0.0142334777879659,0.0110180745819866,0.0100180593266042,0.0235724648265406,0.0158065668221823,0.010895015893885,0.0106601552915164,0.0222794555251621,0.0143472113446286,0.008443157482643,0.00876433494044735,0.00916423518789909,0.00326089177393959,0.00289914635078664,0.016760556785446,0.0137993013559362,0.0161253870353493,0.0108559185120016,0.0135378909809706,0.00540109733161131,0,0.0139642235354259,0.0171164851264184,0.0104715218784855,0.0176310999071792,0.00861667763337842,0.0178654980742534
"SWN",0.0107497648512268,0.0103240911954025,0.00228141581443101,0.00769565812618289,0.0127764463127333,0.00994594206107132,0.024117870512355,0.0168968905652404,0.0126834992953681,0.00935714025305681,0.0231640469184189,0.00255491103850473,0.00844392268017929,0.00890854203428181,0.009453913880014,0.0142962168844598,0.0156849802993675,0.0118404798578456,0.0102120978202253,0.0097831520846868,0.0107272688027007,0.0144296487186871,0.0145709252584747,0.0139642235354259,0,0.00301274960635631,0.0121326371345932,0.0193805369355391,0.00868604114015384,0.0195620619047508
"SWS",0.0135350973321984,0.0133794430263551,0.00624897095425391,0.0114460211489595,0.015186504244154,0.0125368339678619,0.0264299994541723,0.0196439513806267,0.0155798025992883,0.0128686635277219,0.0256402022208883,0.00619612758547839,0.0114464273343348,0.0115405048692692,0.0124728046043193,0.0174527617436464,0.0184347562275408,0.0158589836469385,0.0138085212574118,0.0144524481325906,0.0136002922855942,0.0173554273640336,0.0173083282172746,0.0171164851264184,0.00301274960635631,0,0.0150614362439739,0.0217620671317943,0.0119468484172893,0.0216506576208852
"SWZ",0.0060467550115035,0.00726917878141081,0.00976784820832249,0.0117594088851754,0.00764144094042132,0.00712917008360475,0.019971059531922,0.0124521482366158,0.00584076910478807,0.00648091007907756,0.0189903744661784,0.0130577273501482,0.00678948755372104,0.005659824365526,0.00654456636735004,0.0111383033378708,0.0124343025649733,0.0138347546467201,0.0112152310003351,0.0124443195868729,0.00847071901353173,0.00945037703518018,0.00956906856385837,0.0104715218784855,0.0121326371345932,0.0150614362439739,0,0.013382344015743,0.00655279021471521,0.0135046530616551
"UKN",0.0120098232737359,0.0151106694134761,0.0179840002546509,0.0188899802966048,0.0136450453614419,0.0138892584408221,0.0145935249315636,0.0217161733404065,0.0155900225291835,0.0151946281122981,0.0151513509420246,0.0197575301588665,0.0141570336923559,0.0129009900385927,0.0141912030405091,0.0183992641274881,0.0193920255147592,0.0207927756395924,0.0174625403978923,0.0203190135735314,0.0156718729513702,0.0166309163592585,0.0154699247410912,0.0176310999071792,0.0193805369355391,0.0217620671317943,0.013382344015743,0,0.0145068511923329,0.00654420481201975
"UKR",0.00695085213828447,0.00468178667394563,0.00550613027555775,0.00775948779529924,0.00883728385070732,0.0055919459677774,0.0199724017152033,0.0122257295472064,0.00580755203335336,0.00333407522650976,0.0190757680438488,0.00889246345738331,0.00405100899616938,0.00335504437412177,0.00295433624850955,0.00973538829056305,0.0107151783059082,0.0105205176586857,0.00705123371301073,0.00882065690413651,0.00487225027938516,0.00813646190370195,0.00970461022107495,0.00861667763337842,0.00868604114015384,0.0119468484172893,0.00655279021471521,0.0145068511923329,0,0.014723153268211
"UKS",0.0118393328170352,0.015251287558842,0.018154037264222,0.0190879206718012,0.0134928040891588,0.0140617858606693,0.016691614338479,0.0218342195441523,0.0154670012237991,0.0151898959968047,0.0165097685088337,0.0199108279620563,0.014267552387927,0.0131611382827604,0.0145745382580849,0.0181458550398755,0.0196014508451787,0.020859193355968,0.0177745410624783,0.0207180602655075,0.0158369377211236,0.0170261486908581,0.0158603362452798,0.0178654980742534,0.0195620619047508,0.0216506576208852,0.0135046530616551,0.00654420481201975,0.014723153268211,0
