"","Balfour Downs Newman","Bonney Downs Nullagine","Bungaroo Ck","Cane River Conservation Park","De Grey Strelley","East Newman","Ex Mt Minnie","Ex Nanutarra","Hillside Nullagine","Juna Downs","Karijini","Lake Wilderness","Mallina Sherlock","Marillana Newman","Mount Sheila","Mt Welcome","Mundabullangana","Nanutarra","Nifty Mine","Peedamulla","Red Hill Peedamulla","Rocklea","Roy Hill Newman","Sth Milstream","Tom Price","Turee Creek Rocklea","West Newman","Woodstock","Yalleen Fortescue","Yarraloola Fortescue"
"Balfour Downs Newman",0,0.0262040909539697,0.023615948812718,0.00698200950114174,0.00972294290424573,0.00189209531280933,0.0092025456176037,-0.000692971623018369,0.00494171434697702,0.00247712369169629,0.0125211408074706,0.00313800174933455,0.0069402583130384,0.00495279806661402,0.0150014915287998,0.00679742429708667,0.00721256235984317,0.00826076549943568,0.000436416336993837,0.00570074862815196,0.00471386405087682,0.00883427534578092,0.00406694084086641,0.0377966708238596,0.00654412475691337,0.00390018463175794,0.0214066192542514,0.00597185306604696,0.0269382380287512,0.00423396698188373
"Bonney Downs Nullagine",0.0262040909539697,0,0.0389335394187147,0.0234419488876962,0.0354714535122694,0.0259855133402601,0.0366289078540019,0.0351646828866668,0.0255598671704103,0.0296357233989708,0.033952721247762,0.0208244584668556,0.0227770574353053,0.025121947769355,0.0391828856157651,0.0302177760527208,0.0359189734730197,0.033824259213397,0.0176172608726385,0.0255123140378181,0.0331732221389983,0.0325924012291328,0.0322342092739665,0.0735765346714863,0.0332974353653921,0.02192207955518,0.057237594779642,0.0302707127627195,0.0588324749445253,0.0290213503818693
"Bungaroo Ck",0.023615948812718,0.0389335394187147,0,0.0193475765804664,0.0327203688946181,0.0236109198174717,0.0227500064488208,0.036590729175829,0.0224522943031104,0.0316491762409411,0.0360549595259714,0.0131953973720716,0.027635264773463,0.0270279163423836,0.0341364076478617,0.0176050210564173,0.0197695387370948,0.020530288007279,0.0179192374225927,0.020999481081956,0.0132681200894948,0.0249465994010579,0.0221065663862481,0.0665709836015513,0.019574149951608,0.0115543669734147,0.0611498856168251,0.0178110146911863,0.0406266607520105,0.016155594314835
"Cane River Conservation Park",0.00698200950114174,0.0234419488876962,0.0193475765804664,0,0.0125293613016594,0.0113824712611406,0.00776566638541497,-0.00314372921457637,0.0101141990197966,0.0107269128552421,0.0136941979913605,0.00591162619213986,0.00515868066904966,0.00325723088015475,0.0155035812731397,0.00847842933010609,0.00666697702028998,0.00211818043109436,-1.36122659668295e-05,-0.00359950594059277,-0.00580899868427185,0.00858542072084845,0.00599442972291887,0.0392165335871756,0.00830825980084598,0.000414177050760487,0.0255165532456434,-0.00110379570670632,0.0270801445398281,-0.0048820404490931
"De Grey Strelley",0.00972294290424573,0.0354714535122694,0.0327203688946181,0.0125293613016594,0,0.0165810129861641,0.018143449056798,0.0176655870204737,0.00759481861357392,0.0196805130070454,0.0235489611305942,0.000432628865124744,0.00677751384028722,0.0100249913775426,0.025042083002159,0.0114192495921697,0.00237034464241636,0.0174767957898596,0.00442487050912261,0.0159423818349878,0.0120570735071184,0.0195325569020766,0.0171353103559056,0.0547470344746889,0.0150461357014015,0.00949931908676249,0.0481623272693163,0.00635737652748565,0.0423046750152541,0.0162298049860147
"East Newman",0.00189209531280933,0.0259855133402601,0.0236109198174717,0.0113824712611406,0.0165810129861641,0,0.0161397983547934,0.00630579278966444,0.00754211250787694,0.0101231611273261,0.0118698961005629,-0.00375994227426501,0.00809188069382706,0.0075752710717325,0.0175306657200275,0.0141614856345427,0.00303516442344521,0.0136818652413374,-0.00179695567859468,0.0073177287667768,0.00903348118048672,0.0112317657463819,0.00794350055651254,0.051039875773937,0.00281993345122908,-0.000933679432342243,0.0370848423333044,-0.00346782702912253,0.0350727670668001,0.00838213415250324
"Ex Mt Minnie",0.0092025456176037,0.0366289078540019,0.0227500064488208,0.00776566638541497,0.018143449056798,0.0161397983547934,0,0.0135323400743614,0.0167366537018553,0.0138418496066806,0.0205372674570177,0.000158718863557271,0.0129466103305603,0.0109513556308686,0.022506701111703,0.00762720311328567,0.00493882348859168,0.00592456827991983,0.0113810701317056,0.00837609784429177,0.00350176385142149,0.0151536126626438,0.0133009881622591,0.052451032384517,0.0100680566058119,0.00812560641443581,0.0476902487826781,0.00731366064614605,0.0393851926684948,0.00428146155901927
"Ex Nanutarra",-0.000692971623018369,0.0351646828866668,0.036590729175829,-0.00314372921457637,0.0176655870204737,0.00630579278966444,0.0135323400743614,0,-0.00429896490647089,0.00419276405833979,0.0132347860487772,-0.003926626510235,0.00623958568362898,-0.00124109156141854,0.0150517203994857,0.00563957265574247,0.00298327068157516,0.0122735374410577,-0.000752521490991923,0.00298320572550914,-0.00189679060031545,0.00922463597353365,0.00620195010205825,0.0456100862318069,0.00369612447826051,-0.00235630327331341,0.0431661765151745,-0.000438218054281582,0.0395678595543552,0.00444427225303434
"Hillside Nullagine",0.00494171434697702,0.0255598671704103,0.0224522943031104,0.0101141990197966,0.00759481861357392,0.00754211250787694,0.0167366537018553,-0.00429896490647089,0,0.0117244180602006,0.0174757707993701,0.000327040081834027,-0.00183537381294338,0.000771895804876001,0.016489041184622,0.00671864752605119,-0.00448924595816279,0.00545369285566239,0.00215151366476466,0.00698755146439894,0.00100369184042176,0.0110092094596892,0.00242630196884545,0.0499086552463661,0.00213658640809097,0.000572804453860392,0.0435482302176086,-0.00275301211914209,0.040642356004322,0.00416693840694375
"Juna Downs",0.00247712369169629,0.0296357233989708,0.0316491762409411,0.0107269128552421,0.0196805130070454,0.0101231611273261,0.0138418496066806,0.00419276405833979,0.0117244180602006,0,0.0124368645582833,0.000488778991689389,0.00937859362812597,0.00955032361963597,0.011041670970743,0.01754640509129,0.0109542671935478,0.0115325255646127,0.00363763818227512,0.00905661310957789,0.0107949838665026,0.00635019909653933,0.000310378686664385,0.0546415905800922,0.00657881642898193,0.000647408823257394,0.0401784499827526,0.00604477202837736,0.0453373673128486,0.0107633738185893
"Karijini",0.0125211408074706,0.033952721247762,0.0360549595259714,0.0136941979913605,0.0235489611305942,0.0118698961005629,0.0205372674570177,0.0132347860487772,0.0174757707993701,0.0124368645582833,0,0.0153355398945764,0.0134008692616243,0.013488081653604,0.0162608774805232,0.0184257243319671,0.0165841119196587,0.021513720395433,0.0124915377688334,0.0160049594269811,0.0134861345150703,0.0130725459822798,0.0184795471295304,0.0490309880123358,0.0118450026122861,0.00552557766529308,0.037100749731624,0.0117760988274217,0.0393271447439054,0.013799761610694
"Lake Wilderness",0.00313800174933455,0.0208244584668556,0.0131953973720716,0.00591162619213986,0.000432628865124744,-0.00375994227426501,0.000158718863557271,-0.003926626510235,0.000327040081834027,0.000488778991689389,0.0153355398945764,0,-0.000793731529543333,0.00194153659687706,0.0155117231713244,-0.004139697533733,-0.00128573990196545,-0.00683581009337717,-0.00422158465223381,-0.00276128188415691,-0.00430544927729763,0.00494981818607387,0.0033332051424859,0.0379630738469927,-0.00541363445575617,-0.00982152443915912,0.0225999943103627,-0.00478456763256365,0.0206688539959555,0.00233234953838698
"Mallina Sherlock",0.0069402583130384,0.0227770574353053,0.027635264773463,0.00515868066904966,0.00677751384028722,0.00809188069382706,0.0129466103305603,0.00623958568362898,-0.00183537381294338,0.00937859362812597,0.0134008692616243,-0.000793731529543333,0,0.00373900883131533,0.016484031362351,0.00651795762097916,-0.00450907459316777,0.00910815022264511,0.00249413666672517,0.00639942343495668,0.0113594992871828,0.0128883442429854,0.00438782935738834,0.0492045498118665,0.00591151905414437,-0.00271070260536553,0.0418206421753765,0.00384467184863239,0.0351935513009278,0.00521054274485949
"Marillana Newman",0.00495279806661402,0.025121947769355,0.0270279163423836,0.00325723088015475,0.0100249913775426,0.0075752710717325,0.0109513556308686,-0.00124109156141854,0.000771895804876001,0.00955032361963597,0.013488081653604,0.00194153659687706,0.00373900883131533,0,0.0166564596613854,0.0103874451357405,0.00859797565803989,0.0113228928229141,0.000657620741492515,0.00576286632196821,0.00288636774347682,0.00748288604151155,0.00301803004147903,0.0438974986260995,0.00603132339247757,-0.000893877317715753,0.0274594407274612,0.00114878832647654,0.0332815979081589,0.00304756993915065
"Mount Sheila",0.0150014915287998,0.0391828856157651,0.0341364076478617,0.0155035812731397,0.025042083002159,0.0175306657200275,0.022506701111703,0.0150517203994857,0.016489041184622,0.011041670970743,0.0162608774805232,0.0155117231713244,0.016484031362351,0.0166564596613854,0,0.0190737079803626,0.0154758596865174,0.0242787972843774,0.0108700994987835,0.0174664431613814,0.0152655831610976,-0.00183297674934704,0.0167207598597241,0.0441054706309416,0.0066572232520664,0.00734590096551346,0.040019261419332,0.0153579280557102,0.0379932747668534,0.0154540067295957
"Mt Welcome",0.00679742429708667,0.0302177760527208,0.0176050210564173,0.00847842933010609,0.0114192495921697,0.0141614856345427,0.00762720311328567,0.00563957265574247,0.00671864752605119,0.01754640509129,0.0184257243319671,-0.004139697533733,0.00651795762097916,0.0103874451357405,0.0190737079803626,0,0.00186104572378666,0.00733172230955122,0.00253730226817752,0.00283095010974607,-0.000976561076607538,0.00789079462246001,0.0134486041431273,0.0438106374003715,0.00327349463088429,0.00231881036074093,0.0454101075104663,0.0113377038899503,0.032264017199665,0.0058275071792191
"Mundabullangana",0.00721256235984317,0.0359189734730197,0.0197695387370948,0.00666697702028998,0.00237034464241636,0.00303516442344521,0.00493882348859168,0.00298327068157516,-0.00448924595816279,0.0109542671935478,0.0165841119196587,-0.00128573990196545,-0.00450907459316777,0.00859797565803989,0.0154758596865174,0.00186104572378666,0,0.00175857642761551,0.00167354380967038,0.005648729439673,-0.00117284825597544,0.0124694375182026,0.00555639945410548,0.0460978490711059,0.00776128005449272,0.00162969922222166,0.0387640004272542,-0.00254859164468349,0.0273963127819767,0.00748961361580198
"Nanutarra",0.00826076549943568,0.033824259213397,0.020530288007279,0.00211818043109436,0.0174767957898596,0.0136818652413374,0.00592456827991983,0.0122735374410577,0.00545369285566239,0.0115325255646127,0.021513720395433,-0.00683581009337717,0.00910815022264511,0.0113228928229141,0.0242787972843774,0.00733172230955122,0.00175857642761551,0,0.00525597187543786,0.00510996546035046,0.00229823138652156,0.0162189981318789,-0.00225719958127704,0.0538244501649174,0.00365427204253958,5.0319074618572e-05,0.0409375501685664,0.00634128921422392,0.0339263318148525,0.00151406339149021
"Nifty Mine",0.000436416336993837,0.0176172608726385,0.0179192374225927,-1.36122659668295e-05,0.00442487050912261,-0.00179695567859468,0.0113810701317056,-0.000752521490991923,0.00215151366476466,0.00363763818227512,0.0124915377688334,-0.00422158465223381,0.00249413666672517,0.000657620741492515,0.0108700994987835,0.00253730226817752,0.00167354380967038,0.00525597187543786,0,0.00264748829345113,0.00264532018394804,0.00349444565733381,0.0011056109165358,0.0427379183018064,0.00147453606126394,-0.00320701285986447,0.0233442115552703,0.00206523319723893,0.0276071996523486,0.00115340680104673
"Peedamulla",0.00570074862815196,0.0255123140378181,0.020999481081956,-0.00359950594059277,0.0159423818349878,0.0073177287667768,0.00837609784429177,0.00298320572550914,0.00698755146439894,0.00905661310957789,0.0160049594269811,-0.00276128188415691,0.00639942343495668,0.00576286632196821,0.0174664431613814,0.00283095010974607,0.005648729439673,0.00510996546035046,0.00264748829345113,0,-0.00583732420412892,0.0133342176474407,0.00753374929884136,0.0482419561399615,0.00736684041717134,-0.0016441188694408,0.0298254800112529,0.00785631260868658,0.0345163210408461,-0.00334328016912575
"Red Hill Peedamulla",0.00471386405087682,0.0331732221389983,0.0132681200894948,-0.00580899868427185,0.0120570735071184,0.00903348118048672,0.00350176385142149,-0.00189679060031545,0.00100369184042176,0.0107949838665026,0.0134861345150703,-0.00430544927729763,0.0113594992871828,0.00288636774347682,0.0152655831610976,-0.000976561076607538,-0.00117284825597544,0.00229823138652156,0.00264532018394804,-0.00583732420412892,0,0.0169258752935832,0.00298503332200528,0.0521110423080613,-0.00188572094242359,-0.00459786914491664,0.0326083109160414,3.47186601817837e-17,0.0308849611644548,-0.0138313234638009
"Rocklea",0.00883427534578092,0.0325924012291328,0.0249465994010579,0.00858542072084845,0.0195325569020766,0.0112317657463819,0.0151536126626438,0.00922463597353365,0.0110092094596892,0.00635019909653933,0.0130725459822798,0.00494981818607387,0.0128883442429854,0.00748288604151155,-0.00183297674934704,0.00789079462246001,0.0124694375182026,0.0162189981318789,0.00349444565733381,0.0133342176474407,0.0169258752935832,0,0.0124165163492542,0.0434766201174931,-0.00659492892440536,0.00225661375692951,0.0451909538157125,0.00620715841881209,0.0346538807511132,0.00895118717335994
"Roy Hill Newman",0.00406694084086641,0.0322342092739665,0.0221065663862481,0.00599442972291887,0.0171353103559056,0.00794350055651254,0.0133009881622591,0.00620195010205825,0.00242630196884545,0.000310378686664385,0.0184795471295304,0.0033332051424859,0.00438782935738834,0.00301803004147903,0.0167207598597241,0.0134486041431273,0.00555639945410548,-0.00225719958127704,0.0011056109165358,0.00753374929884136,0.00298503332200528,0.0124165163492542,0,0.0527328547398877,0.00801902813203682,-0.00172670014833272,0.0401794434682033,0.00295217582651253,0.0341144081329221,0.00698425880054308
"Sth Milstream",0.0377966708238596,0.0735765346714863,0.0665709836015513,0.0392165335871756,0.0547470344746889,0.051039875773937,0.052451032384517,0.0456100862318069,0.0499086552463661,0.0546415905800922,0.0490309880123358,0.0379630738469927,0.0492045498118665,0.0438974986260995,0.0441054706309416,0.0438106374003715,0.0460978490711059,0.0538244501649174,0.0427379183018064,0.0482419561399615,0.0521110423080613,0.0434766201174931,0.0527328547398877,0,0.0380165509996038,0.0419534284444977,0.0828363401236288,0.0484325583241806,0.0648428010297157,0.049221908527702
"Tom Price",0.00654412475691337,0.0332974353653921,0.019574149951608,0.00830825980084598,0.0150461357014015,0.00281993345122908,0.0100680566058119,0.00369612447826051,0.00213658640809097,0.00657881642898193,0.0118450026122861,-0.00541363445575617,0.00591151905414437,0.00603132339247757,0.0066572232520664,0.00327349463088429,0.00776128005449272,0.00365427204253958,0.00147453606126394,0.00736684041717134,-0.00188572094242359,-0.00659492892440536,0.00801902813203682,0.0380165509996038,0,-0.00679229116351314,0.0456567428394593,0.00693690038349283,0.0296963057795611,-0.00127967198775744
"Turee Creek Rocklea",0.00390018463175794,0.02192207955518,0.0115543669734147,0.000414177050760487,0.00949931908676249,-0.000933679432342243,0.00812560641443581,-0.00235630327331341,0.000572804453860392,0.000647408823257394,0.00552557766529308,-0.00982152443915912,-0.00271070260536553,-0.000893877317715753,0.00734590096551346,0.00231881036074093,0.00162969922222166,5.0319074618572e-05,-0.00320701285986447,-0.0016441188694408,-0.00459786914491664,0.00225661375692951,-0.00172670014833272,0.0419534284444977,-0.00679229116351314,0,0.0269661701730534,0.00113921502751342,0.0261725139609217,-0.000763776130363672
"West Newman",0.0214066192542514,0.057237594779642,0.0611498856168251,0.0255165532456434,0.0481623272693163,0.0370848423333044,0.0476902487826781,0.0431661765151745,0.0435482302176086,0.0401784499827526,0.037100749731624,0.0225999943103627,0.0418206421753765,0.0274594407274612,0.040019261419332,0.0454101075104663,0.0387640004272542,0.0409375501685664,0.0233442115552703,0.0298254800112529,0.0326083109160414,0.0451909538157125,0.0401794434682033,0.0828363401236288,0.0456567428394593,0.0269661701730534,0,0.0366101815402935,0.0643597956680678,0.0370850697336998
"Woodstock",0.00597185306604696,0.0302707127627195,0.0178110146911863,-0.00110379570670632,0.00635737652748565,-0.00346782702912253,0.00731366064614605,-0.000438218054281582,-0.00275301211914209,0.00604477202837736,0.0117760988274217,-0.00478456763256365,0.00384467184863239,0.00114878832647654,0.0153579280557102,0.0113377038899503,-0.00254859164468349,0.00634128921422392,0.00206523319723893,0.00785631260868658,3.47186601817837e-17,0.00620715841881209,0.00295217582651253,0.0484325583241806,0.00693690038349283,0.00113921502751342,0.0366101815402935,0,0.0329744605545398,0.0084560622331425
"Yalleen Fortescue",0.0269382380287512,0.0588324749445253,0.0406266607520105,0.0270801445398281,0.0423046750152541,0.0350727670668001,0.0393851926684948,0.0395678595543552,0.040642356004322,0.0453373673128486,0.0393271447439054,0.0206688539959555,0.0351935513009278,0.0332815979081589,0.0379932747668534,0.032264017199665,0.0273963127819767,0.0339263318148525,0.0276071996523486,0.0345163210408461,0.0308849611644548,0.0346538807511132,0.0341144081329221,0.0648428010297157,0.0296963057795611,0.0261725139609217,0.0643597956680678,0.0329744605545398,0,0.0266380456958791
"Yarraloola Fortescue",0.00423396698188373,0.0290213503818693,0.016155594314835,-0.0048820404490931,0.0162298049860147,0.00838213415250324,0.00428146155901927,0.00444427225303434,0.00416693840694375,0.0107633738185893,0.013799761610694,0.00233234953838698,0.00521054274485949,0.00304756993915065,0.0154540067295957,0.0058275071792191,0.00748961361580198,0.00151406339149021,0.00115340680104673,-0.00334328016912575,-0.0138313234638009,0.00895118717335994,0.00698425880054308,0.049221908527702,-0.00127967198775744,-0.000763776130363672,0.0370850697336998,0.0084560622331425,0.0266380456958791,0
