"","AP","CFP","CIE","CP","CPV","FM","FP","FT","HIP","HP","IP","JB","KP","LCC","MH","MR","MRG","NYBG","PB","RR","SW","VC","WWP"
"AP",0,0.142313510705122,0.0291631891682141,0.0875749316973986,0.157626068307104,0.0668195831678866,0.0347375952387314,0.0921005667746112,0.144039736631933,0.0602062207412635,0.0643168888402567,0.152647360028504,0.0510771618617774,0.141964064931735,0.156764305514156,0.037362402955614,0.158213016649151,0.145794076831988,0.143507605306206,0.088697493028943,0.0362998427635477,0.065010137175489,0.144194256382671
"CFP",0.142313510705122,0,0.0809127749832002,0.0637070872740011,0.0594706716983745,0.186171954524128,0.155871927826361,0.144419958152224,0.010069325661202,0.02216239259869,0.122364066905814,0.169380157167531,0.160484116275047,0.0517006607569086,0.0542748109439292,0.140903250137064,0.0587295525537956,0.0234392903139118,0.0686998911008489,0.196288595789252,0.0874880564484318,0.071268588678726,0.0238852893538098
"CIE",0.0291631891682141,0.0809127749832002,0,0.0464264110303208,0.107304909713232,0.0754470647928424,0.0426259327170126,0.0783854181122019,0.087269850143473,0.0293274955462145,0.0381902250679218,0.13276275808156,0.0527919960830141,0.0971180352667701,0.116699642496318,0.0177528125624098,0.109671289220796,0.0821543166699418,0.112890963487253,0.0882721668951524,0.00189435061991219,0.0395858346005003,0.105886208370921
"CP",0.0875749316973986,0.0637070872740011,0.0464264110303208,0,0.0866249866030916,0.137086368913514,0.106554181939436,0.109253624106249,0.0671444744239109,0.0320491710797359,0.0844616018530937,0.150228319761371,0.116217608581345,0.0788146200504122,0.0893155443145768,0.0844236013435177,0.0854219768621649,0.0666705540989283,0.0899726199292605,0.149114113409833,0.0541123427916525,0.055730173672699,0.0815995105776929
"CPV",0.157626068307104,0.0594706716983745,0.107304909713232,0.0866249866030916,0,0.212585117871548,0.180672561527331,0.144848812662445,0.0653561867895413,0.0304857392423084,0.130605625514471,0.173572578067041,0.187158874222896,0.0171101023143463,0.0150524972079314,0.164359914379882,0.0125145685342695,0.0633466985914402,0.0288730024585435,0.219684866714695,0.113007426009726,0.0663953063814959,0.0751061559950282
"FM",0.0668195831678866,0.186171954524128,0.0754470647928424,0.137086368913514,0.212585117871548,0,0.0667445853684165,0.128176501826775,0.190581962942042,0.121560763932121,0.104345849433479,0.181382815787472,0.0801924575960251,0.19431125196163,0.21283746145638,0.0863244072325431,0.220701623822306,0.181524287991074,0.20024942137894,0.104870208138076,0.0829782257091866,0.121765168850179,0.190010913897362
"FP",0.0347375952387314,0.155871927826361,0.0426259327170126,0.106554181939436,0.180672561527331,0.0667445853684165,0,0.0998509781164564,0.162753658002052,0.0896477146481318,0.0687281345419368,0.14664577954352,0.0581322923911324,0.164007217724737,0.18125519964911,0.045677482695405,0.183419539283447,0.156605727847223,0.1679799581054,0.0701470892720785,0.0475612126046185,0.0869982654842754,0.16056678670743
"FT",0.0921005667746112,0.144419958152224,0.0783854181122019,0.109253624106249,0.144848812662445,0.128176501826775,0.0998509781164564,0,0.145775525533335,0.0770004080613918,0.101243727331749,0.161060733796421,0.114222631126007,0.137141557736922,0.1487537045181,0.0925700044155125,0.147265772443685,0.142595691384613,0.142005510669855,0.15014060594544,0.083418757920452,0.0861816024145217,0.15064621540218
"HIP",0.144039736631933,0.010069325661202,0.087269850143473,0.0671444744239109,0.0653561867895413,0.190581962942042,0.162753658002052,0.145775525533335,0,0.0163582397206168,0.12536616735866,0.17693635170666,0.165689164499663,0.0596987584986157,0.0588000226588455,0.134178918818209,0.0632867642649204,0.0278564164737684,0.0740882533767492,0.202817660754834,0.0947923156242736,0.079531154181524,0.0306557619938151
"HP",0.0602062207412635,0.02216239259869,0.0293274955462145,0.0320491710797359,0.0304857392423084,0.121560763932121,0.0896477146481318,0.0770004080613918,0.0163582397206168,0,0.0614141877695586,0.111989639088943,0.0986348274968786,0.0266524531099679,0.0310914566322224,0.064210214760956,0.0247259939178826,0.034385983495466,0.0425457458950566,0.130076421624158,0.0371696574931223,0.0241252650267081,0.0413029437787051
"IP",0.0643168888402567,0.122364066905814,0.0381902250679218,0.0844616018530937,0.130605625514471,0.104345849433479,0.0687281345419368,0.101243727331749,0.12536616735866,0.0614141877695586,0,0.160230595593935,0.0820053088274144,0.11989548618549,0.136785423791431,0.047813813296208,0.133921135308128,0.12143194700819,0.128287136178378,0.116471838288545,0.0385025977495147,0.0584289785909512,0.142856807066807
"JB",0.152647360028504,0.169380157167531,0.13276275808156,0.150228319761371,0.173572578067041,0.181382815787472,0.14664577954352,0.161060733796421,0.17693635170666,0.111989639088943,0.160230595593935,0,0.165259762422991,0.161592668279709,0.174157056685157,0.156051355269134,0.176067597098165,0.172648277490098,0.167058043638764,0.198205365125599,0.135918098970006,0.13499960744042,0.169917034826919
"KP",0.0510771618617774,0.160484116275047,0.0527919960830141,0.116217608581345,0.187158874222896,0.0801924575960251,0.0581322923911324,0.114222631126007,0.165689164499663,0.0986348274968786,0.0820053088274144,0.165259762422991,0,0.170153802219243,0.189834865099812,0.0638036918897301,0.190702457699367,0.156922784699338,0.178127279076483,0.0945074417869383,0.0610427765777308,0.102571591459308,0.167487057629232
"LCC",0.141964064931735,0.0517006607569086,0.0971180352667701,0.0788146200504122,0.0171101023143463,0.19431125196163,0.164007217724737,0.137141557736922,0.0596987584986157,0.0266524531099679,0.11989548618549,0.161592668279709,0.170153802219243,0,0.0127414455089374,0.153417787351151,0.00735615222955879,0.0547356748511734,0.0257419233436973,0.202812518653443,0.0991757065212296,0.0588164564005577,0.0675763296254861
"MH",0.156764305514156,0.0542748109439292,0.116699642496318,0.0893155443145768,0.0150524972079314,0.21283746145638,0.18125519964911,0.1487537045181,0.0588000226588455,0.0310914566322224,0.136785423791431,0.174157056685157,0.189834865099812,0.0127414455089374,0,0.168427704433984,0.00780672131179551,0.0607746760107574,0.0230538851371007,0.22170128993638,0.121734751802789,0.0707306995462436,0.0715694605065772
"MR",0.037362402955614,0.140903250137064,0.0177528125624098,0.0844236013435177,0.164359914379882,0.0863244072325431,0.045677482695405,0.0925700044155125,0.134178918818209,0.064210214760956,0.047813813296208,0.156051355269134,0.0638036918897301,0.153417787351151,0.168427704433984,0,0.168589422348001,0.136175017317219,0.159143011232786,0.096660383278906,0.0301655679248825,0.0695311944177173,0.16585657885771
"MRG",0.158213016649151,0.0587295525537956,0.109671289220796,0.0854219768621649,0.0125145685342695,0.220701623822306,0.183419539283447,0.147265772443685,0.0632867642649204,0.0247259939178826,0.133921135308128,0.176067597098165,0.190702457699367,0.00735615222955879,0.00780672131179551,0.168589422348001,0,0.0630095727260653,0.0237492683075886,0.230194254728589,0.114551541412216,0.0614783315281489,0.0761807261043205
"NYBG",0.145794076831988,0.0234392903139118,0.0821543166699418,0.0666705540989283,0.0633466985914402,0.181524287991074,0.156605727847223,0.142595691384613,0.0278564164737684,0.034385983495466,0.12143194700819,0.172648277490098,0.156922784699338,0.0547356748511734,0.0607746760107574,0.136175017317219,0.0630095727260653,0,0.0658728586437839,0.192083806136244,0.0870736611815582,0.0735336003476183,0.0386320429951522
"PB",0.143507605306206,0.0686998911008489,0.112890963487253,0.0899726199292605,0.0288730024585435,0.20024942137894,0.1679799581054,0.142005510669855,0.0740882533767492,0.0425457458950566,0.128287136178378,0.167058043638764,0.178127279076483,0.0257419233436973,0.0230538851371007,0.159143011232786,0.0237492683075886,0.0658728586437839,0,0.205174799344299,0.112676639668248,0.0698579002374572,0.0797723015526476
"RR",0.088697493028943,0.196288595789252,0.0882721668951524,0.149114113409833,0.219684866714695,0.104870208138076,0.0701470892720785,0.15014060594544,0.202817660754834,0.130076421624158,0.116471838288545,0.198205365125599,0.0945074417869383,0.202812518653443,0.22170128993638,0.096660383278906,0.230194254728589,0.192083806136244,0.205174799344299,0,0.0921773895602552,0.129832457096232,0.201107254476455
"SW",0.0362998427635477,0.0874880564484318,0.00189435061991219,0.0541123427916525,0.113007426009726,0.0829782257091866,0.0475612126046185,0.083418757920452,0.0947923156242736,0.0371696574931223,0.0385025977495147,0.135918098970006,0.0610427765777308,0.0991757065212296,0.121734751802789,0.0301655679248825,0.114551541412216,0.0870736611815582,0.112676639668248,0.0921773895602552,0,0.041006017948746,0.109848350991557
"VC",0.065010137175489,0.071268588678726,0.0395858346005003,0.055730173672699,0.0663953063814959,0.121765168850179,0.0869982654842754,0.0861816024145217,0.079531154181524,0.0241252650267081,0.0584289785909512,0.13499960744042,0.102571591459308,0.0588164564005577,0.0707306995462436,0.0695311944177173,0.0614783315281489,0.0735336003476183,0.0698579002374572,0.129832457096232,0.041006017948746,0,0.0905091566384622
"WWP",0.144194256382671,0.0238852893538098,0.105886208370921,0.0815995105776929,0.0751061559950282,0.190010913897362,0.16056678670743,0.15064621540218,0.0306557619938151,0.0413029437787051,0.142856807066807,0.169917034826919,0.167487057629232,0.0675763296254861,0.0715694605065772,0.16585657885771,0.0761807261043205,0.0386320429951522,0.0797723015526476,0.201107254476455,0.109848350991557,0.0905091566384622,0
